Code,Code (terminaison),DES,Début du nom,Objet,Date de reconnaissance,Dernière modif statuts,Catégorie,Adresse,Adresse.Adr1,Adresse.Adr2,Code Postal,Ville
75.000.0001,0001,CROIX-ROUGE FRANCAISE (CRF),,"Participer par une activité continue à tous les efforts de protection et d'action sociale, de prévention, d'éducation et de protection sanitaires.",07/08/1940,05/07/2012,17000 santé,SIEGE,Délégation nationale aux affaires juridiques,"98, rue Didot",75694,PARIS CEDEX 14
75.000.0002,0002,REUNION DES OFFICIERS DE RESERVE DU SERVICE D'ETAT MAJOR,,Maintenir et développer la cohésion des ORSEM.,27/10/1989,,"38000 armée, anc combattants",SIEGE,"Ecole militaire - 1, place Joffre",Case 54,75007,PARIS
13.000.0003,0003,ETUDIANTS ET ANCIENS ETUDIANTS DE MARSEILLE,ASSOCIATION GENERALE DES,Représenter les associations adhérentes en cas d'action collective Lettre recommandée envoyée par la préfecture. Retrait de RUP refusé par l'association.,23/03/1933,15/07/1964,15000 éducation formation,SIEGE,"115, la Canebière",,13000,MARSEILLE
45.000.0004,0004,SOCIETE D'HORTICULTURE D'ORLEANS ET DU LOIRET (SHOL),,Contribuer au progrès de la science et de la pratique de l'horticulture.,06/06/1885,05/10/1956,23000 intérêts économiques,SIEGE,"1, Cloître Saint-Pierre-le-Puellier",,45000,ORLEANS
13.000.0005,0005,ŒUVRE DE LA JEUNESSE JEAN JOSEPH ALLEMAND,,Remplir un rôle éducatif et culturel auprès des enfants et jeunes gens.,26/02/1970,,09000 action socioculturelle,SIEGE,"41, rue Saint-Savournin",,13005,MARSEILLE
78.000.0006,0006,SOCIETE DES AMIS DU CHATEAU DE MAISONS,,"Apporter son concours et son activité à la sauvegarde du château de Maisons, à son entretien, à son aménagement, à son animation, à la réunion des documents et des souvenirs historiques qui s'y rattachent.",06/07/1993,,16000 recherche,SIEGE,99 rue de la Muette,,78600,MAISONS-LAFFITTE
93.000.0008,0008,AMIS DU MUSEE DE L'AIR (AAMA),ASSOCIATION DES,Réouvrir le musée de l'air.,16/08/1976,27/12/1983,"38000 armée, anc combattants",SIEGE,B.P. 173,,93352,LE BOURGET CEDEX
53.000.0009,0009,COLLEGE D'ENSEIGNEMENT GENERAL  DE LAVAL,ASSOCIATION AMICALE DES A.E. DU,"Aider financièrement les élèves, la pratique des sports, les colonies de vacances",08/06/1964,,15000 éducation formation,SIEGE,23 rue Tugal,,53000,LAVAL
75.000.0010,0010,ŒUVRE DE SECOURS AUX ENFANTS (OSE),,Aide à l'enfance et protection sanitaire des israélites indigents.,14/09/1951,29/05/2012,18000 services medico-sociaux,SIEGE,"117, rue du faubourg du temple",,75010,PARIS
61.000.0011,0011,SOCIETE D'AGRICULTURE DE L'ORNE,,Soutenir et subventionner le monde agricole.,21/11/1906,16/04/1914,23000 intérêts économiques,SIEGE,"17, cours Clémenceau",,61000,ALENÇON
